Product, Formats total #, .cbr, .cbz, .umd, .chm, .djvu, .epub, .fb2, .html, .mobi, .oeb, .rtf, .pdf, .txt, .doc, .docx, .pdb
Aldiko Book Reader, 02+, ?, ?, ?, No, No, Yes, No, No, No, No, No, Yes, No, ?, ?, ?
AlReader, 09+, ?, ?, ?, No, No, Yes, Yes, Yes, Yes, No, Yes, No, Yes, Yes, Yes, Yes
Bookari, 02+, ?, ?, ?, No, No, Yes, No, No, No, No, No, Yes, No, No, No, No
Cool Reader, 07+, ?, ?, ?, Yes, No, Yes, Yes, Yes, Yes, No, Yes, No, Yes, Yes, No, Yes
EBookDroid, 05+, ?, ?, ?, No, Yes, Yes, Yes, No, No, No, Yes, Yes, No, ?, ?, ?
Ebook Reader[7], 02+, No, No, No, No, No, Yes, No, No, No, No, No, Yes, No, No, No, No
eReader Prestigio[8], 09+, ?, ?, ?, No, Yes, Yes, Yes, Yes, Yes, No, Yes, Yes, Yes, Yes, No, ?
ezPDF Reader, 04+, ?, ?, ?, No, No, Yes, No, Yes, No, No, No, Yes, Yes, ?, ?, ?
FBReader [9], 11+, ?, ?, ?, No, Plugin[10], Yes, Yes, Yes, Yes, Yes, Yes, Plugin[11], Yes, Yes, No, Yes
Google Play Books, 02+, ?, ?, ?, No, No, Yes, No, No, No, No, No, Yes, No, No, No, No
iReader, 02+, ?, ?, ?, ?, ?, Yes, ?, Yes, Yes, ?, ?, ?, Yes, ?, ?, ?
Kindle, 02+, ?, ?, ?, No, No, No, No, No, Yes, No, No, Yes, Yes, ?, ?, ?
KOReader, 13, No, Yes, No, Yes, Yes, Yes, Yes, Yes, Yes, No, Yes, Yes, Yes, Yes, Yes, Yes
Kobo Books, 05+, ?, ?, ?, No, No, Yes, No, Yes, No, No, Yes, No, Yes, ?, ?, ?
Lektz eBook Reader, 02+, ?, ?, ?, No, No, Yes, No, No, No, No, No, Yes, No, ?, ?, ?
Librera[12], 13, Yes, Yes, ?, No, Yes, Yes, Yes, Yes, Yes, No, Yes, Yes, Yes, Yes, Yes, Yes
Moon+ reader Pro, 14, Yes, Yes, Yes, Yes, Yes, Yes, Yes, Yes, Yes, Yes, Yes, Yes, Yes, No, Yes, No
MReader[13], 10+, ?, ?, ?, No, No, Yes, No, No, No, No, No, No, No, No, No, No
PocketBook, 07+, ?, ?, ?, Yes, Yes, Yes, Yes, Yes, Yes, No, Yes, Yes, Yes, No, No, Yes
Snapplify, 07+, ?, ?, ?, No, No, Yes, No, Yes, No, No, No, Yes, Yes, ?, ?, ?
Socio eReader, 01+, ?, ?, ?, No, No, Yes, No, No, No, No, No, No, No, ?, ?, ?
Product, Formats total #, .cbr, .cbz, .umd, .chm, .djvu, .epub, .fb2, .html, .mobi, .oeb, .rtf, .pdf, .txt, .doc, .docx, .pdb
