Implementation, HMAC-MD5, HMAC-SHA1, HMAC-SHA256/384, AEAD, GOST 28147-89 IMIT[84], GOST R 34.11-94[84]
Botan, No, Yes, Yes, Yes, No, No
cryptlib, Yes, Yes, Yes, Yes, No, No
GnuTLS, Yes, Yes, Yes, Yes, No, No
JSSE, Yes, Yes, Yes, Yes, No[85], No[85]
LibreSSL, Yes, Yes, Yes, Yes, Yes[86], Yes[86]
MatrixSSL, Yes, Yes, Yes, Yes, No, No
mbed TLS, Yes, Yes, Yes, Yes, No, No
NSS, Yes, Yes, Yes, Yes, No[88][89], No[88][89]
OpenSSL, Yes, Yes, Yes, Yes, Yes[90], Yes[90]
RSA BSAFE, Yes, Yes, Yes, Yes, No, No
SChannel XP/2003  Vista/2008, Yes, Yes, XP SP3  2003 SP2 via hotfix[171], No, No[91], No[91]
SChannel 7/2008R2  8/2012  8.1/2012R2, Yes, Yes, Yes, except ECDHE_RSA[93][94][95], No[91], No[91]
SChannel 10, Yes, Yes, Yes, Yes[142], No[91], No[91]
Secure Transport, Yes, Yes, Yes, No, No, No
wolfSSL, Yes, Yes, Yes, Yes, No, No
Erlang/OTP SSL application, Yes, Yes, Yes, Yes, No, No
Implementation, HMAC-MD5, HMAC-SHA1, HMAC-SHA256/384, AEAD, GOST 28147-89 IMIT, GOST R 34.11-94
